id,CPSI_verse,CPSI_chorus,version,year
14,1.835086,1.858943,top20v131,2012
15,2.216796,2.207604,top20v131,2012
16,1.94751,1.716521,top20v131,2012
17,1.757582,1.766087,top20v131,2012
18,1.721937,1.935463,top20v131,2012
19,2.229866,2.040685,top20v131,2012
0,1.464884,1.442909,top20v132,2012
1,1.395382,1.466513,top20v132,2012
2,1.629356,1.606045,top20v132,2012
3,1.561857,1.744294,top20v132,2012
4,1.533697,1.278005,top20v132,2012
5,1.774432,1.973295,top20v132,2012
6,1.411281,1.584561,top20v132,2012
7,1.485166,1.514509,top20v132,2012
8,1.469433,1.223686,top20v132,2012
9,1.746609,1.727576,top20v132,2012
10,1.617454,1.324118,top20v132,2012
11,1.345755,1.368477,top20v132,2012
12,1.441301,1.362233,top20v132,2012
13,1.708552,1.358157,top20v132,2012
14,1.534792,1.633328,top20v132,2012
15,1.388276,1.344412,top20v132,2012
16,1.46612,1.504371,top20v132,2012
17,1.579308,1.575846,top20v132,2012
18,1.425302,1.334047,top20v132,2012
19,1.536353,1.446953,top20v132,2012
0,1.815274,1.878573,top20v211,2012
1,1.799326,1.741202,top20v211,2012
2,1.51367,1.648117,top20v211,2012
3,1.698333,1.481046,top20v211,2012
4,1.543642,1.54867,top20v211,2012
5,1.591874,1.595923,top20v211,2012
6,1.92947,1.446008,top20v211,2012
7,1.914356,1.959173,top20v211,2012
8,1.605676,1.524307,top20v211,2012
9,1.766706,1.641285,top20v211,2012
10,1.580374,1.391214,top20v211,2012
11,1.731395,2.315049,top20v211,2012
12,1.368171,1.555138,top20v211,2012
13,1.562594,1.841345,top20v211,2012
14,1.64379,1.637939,top20v211,2012
15,1.832265,1.742985,top20v211,2012
16,1.788527,1.55498,top20v211,2012
17,1.970942,1.971845,top20v211,2012
18,1.619212,1.624281,top20v211,2012
19,1.75356,1.632226,top20v211,2012
0,2.049476,2.18097,top20v212,2012
1,2.104424,2.068689,top20v212,2012
2,1.524704,1.722735,top20v212,2012
3,1.577424,1.872989,top20v212,2012
4,1.723518,1.798812,top20v212,2012
5,1.655295,1.749562,top20v212,2012
6,2.075422,1.907358,top20v212,2012
7,2.406717,2.534507,top20v212,2012
8,1.475926,1.911674,top20v212,2012
9,1.822725,1.803908,top20v212,2012
10,1.748993,1.893048,top20v212,2012
11,2.170989,2.796003,top20v212,2012
12,1.562617,1.778335,top20v212,2012
13,1.637934,1.913949,top20v212,2012
14,1.630537,1.705775,top20v212,2012
15,1.995789,2.003511,top20v212,2012
16,1.924422,1.755641,top20v212,2012
17,2.31602,2.419814,top20v212,2012
18,1.769943,1.956458,top20v212,2012
19,1.901616,1.92116,top20v212,2012
0,1.878997,1.919269,top20v221,2012
1,1.955885,1.339466,top20v221,2012
2,1.518933,1.804848,top20v221,2012
3,1.756986,1.083031,top20v221,2012
4,1.553726,1.714069,top20v221,2012
5,1.597657,1.171763,top20v221,2012
6,1.9259,1.506697,top20v221,2012
7,1.92998,0.643257,top20v221,2012
8,1.651256,1.526327,top20v221,2012
9,1.752497,0.390799,top20v221,2012
10,1.599174,1.649986,top20v221,2012
11,1.723904,0.914181,top20v221,2012
12,1.350547,1.400774,top20v221,2012
13,1.557048,0.643257,top20v221,2012
14,1.666948,1.94962,top20v221,2012
15,1.831173,1.098087,top20v221,2012
16,2.098552,1.567693,top20v221,2012
17,1.998538,0.620697,top20v221,2012
18,1.672655,1.626878,top20v221,2012
19,1.790703,0.755098,top20v221,2012
0,2.115507,2.197471,top20v222,2012
1,2.249168,2.147997,top20v222,2012
2,1.562513,1.710555,top20v222,2012
3,1.739368,1.931225,top20v222,2012
4,1.756127,1.752545,top20v222,2012
5,1.750152,1.767205,top20v222,2012
6,2.09689,1.937023,top20v222,2012
7,2.427851,2.528871,top20v222,2012
8,1.525103,1.703678,top20v222,2012
9,1.839984,1.776506,top20v222,2012
10,1.77091,1.847127,top20v222,2012
11,1.900527,2.765901,top20v222,2012
12,1.606061,1.744851,top20v222,2012
13,1.646451,1.858473,top20v222,2012
14,1.734706,1.727992,top20v222,2012
15,1.979437,1.952895,top20v222,2012
16,2.685667,1.628272,top20v222,2012
17,2.363966,2.428319,top20v222,2012
18,1.916809,1.903348,top20v222,2012
19,1.962063,1.883147,top20v222,2012
0,2.357421,2.389898,top20v231,2012
1,1.770628,2.059878,top20v231,2012
2,1.506788,2.335384,top20v231,2012
3,2.188934,1.791554,top20v231,2012
4,1.640618,1.720175,top20v231,2012
5,1.884458,1.986158,top20v231,2012
6,1.671095,1.609347,top20v231,2012
7,1.879073,1.930053,top20v231,2012
8,2.020611,1.837769,top20v231,2012
9,1.926672,1.973229,top20v231,2012
10,1.795479,1.632242,top20v231,2012
11,2.050337,1.784369,top20v231,2012
12,1.565233,1.707487,top20v231,2012
13,1.655072,1.684797,top20v231,2012
14,1.844289,1.865742,top20v231,2012
15,2.224453,2.214184,top20v231,2012
16,1.950721,1.727053,top20v231,2012
17,1.770324,1.779863,top20v231,2012
18,1.728211,2.008313,top20v231,2012
19,2.259783,2.07463,top20v231,2012
0,1.464289,1.447707,top20v232,2012
1,1.428873,1.470656,top20v232,2012
2,1.640706,1.572084,top20v232,2012
3,1.521729,1.741473,top20v232,2012
4,1.5345,1.274019,top20v232,2012
5,1.780752,1.9784,top20v232,2012
6,1.457163,1.621246,top20v232,2012
7,1.53041,1.569889,top20v232,2012
8,1.446402,1.225648,top20v232,2012
9,1.747637,1.722814,top20v232,2012
10,1.615059,1.324417,top20v232,2012
11,1.352568,1.371648,top20v232,2012
12,1.438293,1.353975,top20v232,2012
13,1.715997,1.322116,top20v232,2012
14,1.522645,1.639389,top20v232,2012
15,1.39056,1.342633,top20v232,2012
16,1.466535,1.504836,top20v232,2012
17,1.573984,1.569942,top20v232,2012
18,1.433094,1.307628,top20v232,2012
19,1.538651,1.438886,top20v232,2012
0,0.89096,0.55143,top10v111,2013
1,1.610002,1.034102,top10v111,2013
2,1.405729,1.029718,top10v111,2013
3,0.983693,0.55143,top10v111,2013
4,1.610913,1.657908,top10v111,2013
5,0.950799,1.23149,top10v111,2013
6,1.005003,1.499114,top10v111,2013
7,1.062091,1.095205,top10v111,2013
8,1.454554,1.374962,top10v111,2013
9,1.362866,2.029438,top10v111,2013
0,1.034414,0.678515,top10v112,2013
1,1.763128,1.251443,top10v112,2013
2,1.832113,1.72648,top10v112,2013
3,1.189598,0.678515,top10v112,2013
4,2.142695,2.163944,top10v112,2013
5,1.189598,1.742011,top10v112,2013
6,1.157776,1.373836,top10v112,2013
7,1.511098,1.130682,top10v112,2013
8,1.034414,1.275268,top10v112,2013
9,1.883375,2.422225,top10v112,2013
0,1.186303,0.0,top10v121,2013
1,0.393507,0.0,top10v121,2013
2,1.085372,1.025108,top10v121,2013
3,0.393507,0.0,top10v121,2013
4,0.489766,0.793139,top10v121,2013
5,0.876639,0.949716,top10v121,2013
6,1.11468,1.366999,top10v121,2013
7,1.246682,0.861486,top10v121,2013
8,1.538402,1.165631,top10v121,2013
9,1.064813,2.034941,top10v121,2013
0,1.230844,1.171067,top10v122,2013
1,0.855238,0.445627,top10v122,2013
2,1.833745,1.694193,top10v122,2013
3,0.980382,0.445627,top10v122,2013
4,0.855238,1.352771,top10v122,2013
5,1.087156,1.275644,top10v122,2013
6,1.380835,1.300246,top10v122,2013
7,1.546291,0.63254,top10v122,2013
8,1.230844,1.300246,top10v122,2013
9,1.762736,2.378141,top10v122,2013
0,1.547787,0.0,top10v131,2013
1,0.790569,0.0,top10v131,2013
2,0.790569,0.0,top10v131,2013
3,0.790569,0.0,top10v131,2013
4,1.172604,1.244017,top10v131,2013
5,1.849753,1.732051,top10v131,2013
6,1.422818,1.732051,top10v131,2013
7,1.866025,1.274755,top10v131,2013
8,1.926686,1.224745,top10v131,2013
9,1.729004,1.609208,top10v131,2013
0,1.354006,1.615893,top10v132,2013
1,0.794949,0.968246,top10v132,2013
2,0.89365,1.054093,top10v132,2013
3,0.866025,0.968246,top10v132,2013
4,0.794949,0.968246,top10v132,2013
5,1.277476,1.277476,top10v132,2013
6,1.114924,1.198958,top10v132,2013
7,1.213352,0.968246,top10v132,2013
8,1.403122,1.263922,top10v132,2013
9,0.89365,0.968246,top10v132,2013
0,0.872363,0.544016,top10v211,2013
1,1.651312,1.112892,top10v211,2013
2,1.445586,0.979357,top10v211,2013
3,1.069717,0.544016,top10v211,2013
4,1.681438,1.741066,top10v211,2013
5,1.041533,1.399405,top10v211,2013
6,1.004554,1.602978,top10v211,2013
7,1.124628,1.087302,top10v211,2013
8,1.566162,1.496051,top10v211,2013
9,1.413924,2.026593,top10v211,2013
0,1.060896,0.65113,top10v212,2013
1,1.763721,1.25702,top10v212,2013
2,1.860273,1.68647,top10v212,2013
3,1.189583,0.65113,top10v212,2013
4,2.146343,2.17939,top10v212,2013
5,1.189583,1.792444,top10v212,2013
6,1.15026,1.402954,top10v212,2013
7,1.538021,1.114447,top10v212,2013
8,1.060896,1.314066,top10v212,2013
9,1.896456,2.395905,top10v212,2013
0,1.207567,0.0,top10v221,2013
1,0.359551,0.0,top10v221,2013
2,1.158771,0.984216,top10v221,2013
3,0.606332,0.0,top10v221,2013
4,0.638937,0.78271,top10v221,2013
5,0.983238,1.079807,top10v221,2013
6,1.101245,1.49286,top10v221,2013
7,1.270819,0.86051,top10v221,2013
8,1.640626,1.266892,top10v221,2013
9,1.105864,2.000786,top10v221,2013
0,1.252408,1.154253,top10v222,2013
1,0.848748,0.423168,top10v222,2013
2,1.85356,1.657153,top10v222,2013
3,0.975539,0.423168,top10v222,2013
4,0.848748,1.347195,top10v222,2013
5,1.088183,1.332131,top10v222,2013
6,1.396547,1.328835,top10v222,2013
7,1.573479,0.625701,top10v222,2013
8,1.252408,1.328835,top10v222,2013
9,1.752095,2.34989,top10v222,2013
0,1.547787,0.0,top10v231,2013
1,0.790569,0.0,top10v231,2013
2,0.790569,0.0,top10v231,2013
3,0.790569,0.0,top10v231,2013
4,1.172604,1.244017,top10v231,2013
5,1.883933,1.767767,top10v231,2013
6,1.443169,1.767767,top10v231,2013
7,1.866025,1.274755,top10v231,2013
8,1.926686,1.224745,top10v231,2013
9,1.761421,1.609208,top10v231,2013
0,1.338532,1.615893,top10v232,2013
1,0.759203,0.968246,top10v232,2013
2,0.759203,0.942809,top10v232,2013
3,1.013794,0.942809,top10v232,2013
4,0.759203,0.968246,top10v232,2013
5,1.154701,1.20185,top10v232,2013
6,1.163687,1.210487,top10v232,2013
7,1.20185,0.968246,top10v232,2013
8,1.354968,1.263922,top10v232,2013
9,0.89365,0.968246,top10v232,2013
0,1.441887,1.424439,top20v111,2013
1,1.739209,1.651319,top20v111,2013
2,1.600848,1.801655,top20v111,2013
3,1.498431,1.363457,top20v111,2013
4,1.882258,1.851083,top20v111,2013
5,1.559331,1.548502,top20v111,2013
6,1.471125,1.606081,top20v111,2013
7,1.772034,1.568103,top20v111,2013
8,1.712884,1.603252,top20v111,2013
9,1.575381,2.30924,top20v111,2013
10,1.385757,1.649351,top20v111,2013
11,2.097782,1.755748,top20v111,2013
12,1.468215,1.567458,top20v111,2013
13,1.419427,1.484271,top20v111,2013
14,1.462003,1.488725,top20v111,2013
15,1.296462,1.525327,top20v111,2013
16,1.456366,1.4398,top20v111,2013
17,1.624942,1.609478,top20v111,2013
18,1.447182,1.57988,top20v111,2013
19,1.780384,1.82164,top20v111,2013
0,1.644771,1.804283,top20v112,2013
1,2.143965,1.910389,top20v112,2013
2,2.053813,2.357393,top20v112,2013
3,1.652645,1.740555,top20v112,2013
4,2.449885,2.409075,top20v112,2013
5,1.965748,1.904036,top20v112,2013
6,1.716593,1.842329,top20v112,2013
7,2.222722,1.781167,top20v112,2013
8,1.868909,1.778458,top20v112,2013
9,2.172026,2.820994,top20v112,2013
10,1.81546,2.105319,top20v112,2013
11,2.653891,2.17417,top20v112,2013
12,1.620291,1.766125,top20v112,2013
13,1.779792,1.833749,top20v112,2013
14,1.733477,1.751269,top20v112,2013
15,1.561351,1.809501,top20v112,2013
16,1.68597,1.979321,top20v112,2013
17,1.919307,1.823404,top20v112,2013
18,1.602755,1.898988,top20v112,2013
19,2.186392,2.299766,top20v112,2013
0,1.571018,1.388278,top20v121,2013
1,1.292379,1.217551,top20v121,2013
2,1.564766,1.78169,top20v121,2013
3,1.37839,1.313219,top20v121,2013
4,1.355222,1.465345,top20v121,2013
5,1.449758,1.442684,top20v121,2013
6,1.499749,1.67501,top20v121,2013
7,1.79829,1.510019,top20v121,2013
8,1.761945,1.597143,top20v121,2013
9,1.513002,2.279757,top20v121,2013
10,1.291985,1.542839,top20v121,2013
11,2.146114,1.794246,top20v121,2013
12,1.47102,1.507282,top20v121,2013
13,1.327882,1.427469,top20v121,2013
14,1.370902,1.38817,top20v121,2013
15,1.169528,1.333293,top20v121,2013
16,1.409836,1.369865,top20v121,2013
17,1.644151,1.63596,top20v121,2013
18,1.338192,1.455155,top20v121,2013
19,1.807192,1.86222,top20v121,2013
0,1.746421,1.878578,top20v122,2013
1,1.616432,1.491433,top20v122,2013
2,2.105355,2.120535,top20v122,2013
3,1.520844,1.530763,top20v122,2013
4,1.77778,1.828915,top20v122,2013
5,1.821399,1.751175,top20v122,2013
6,1.70126,1.834697,top20v122,2013
7,2.206073,1.700598,top20v122,2013
8,1.927278,1.796854,top20v122,2013
9,1.838881,2.776807,top20v122,2013
10,1.754828,1.967473,top20v122,2013
11,2.662873,2.135668,top20v122,2013
12,1.574814,1.716547,top20v122,2013
13,1.699125,1.775722,top20v122,2013
14,1.655449,1.660135,top20v122,2013
15,1.533265,1.717922,top20v122,2013
16,1.712728,2.008101,top20v122,2013
17,1.95408,1.812144,top20v122,2013
18,1.509964,1.740147,top20v122,2013
19,2.206229,2.344158,top20v122,2013
0,1.789184,1.762503,top20v131,2013
1,1.814608,1.623513,top20v131,2013
2,1.72857,1.878122,top20v131,2013
3,2.033247,1.654815,top20v131,2013
4,1.800479,1.972115,top20v131,2013
5,1.996489,2.021543,top20v131,2013
6,2.000812,2.111355,top20v131,2013
7,2.057045,2.233109,top20v131,2013
8,2.102139,1.968802,top20v131,2013
9,2.139448,1.901849,top20v131,2013
10,1.922956,2.074572,top20v131,2013
11,2.017789,2.026271,top20v131,2013
12,2.108503,2.162946,top20v131,2013
13,1.81043,1.926182,top20v131,2013
14,1.852901,1.850106,top20v131,2013
15,1.548846,1.928529,top20v131,2013
16,2.119839,1.838739,top20v131,2013
17,2.397385,1.928979,top20v131,2013
18,1.807084,2.101459,top20v131,2013
19,2.519093,2.420375,top20v131,2013
0,1.534298,1.929873,top20v132,2013
1,1.340011,1.460621,top20v132,2013
2,1.342692,1.50901,top20v132,2013
3,1.330736,1.291941,top20v132,2013
4,1.198939,1.316309,top20v132,2013
5,1.406108,1.470505,top20v132,2013
6,1.401345,1.556704,top20v132,2013
7,1.364178,1.381396,top20v132,2013
8,1.605694,1.68247,top20v132,2013
9,1.306583,1.432872,top20v132,2013
10,1.612727,1.34172,top20v132,2013
11,1.416835,1.590191,top20v132,2013
12,1.419716,1.443135,top20v132,2013
13,1.455947,1.546912,top20v132,2013
14,1.705188,1.746213,top20v132,2013
15,1.421531,1.758816,top20v132,2013
16,1.52051,1.752404,top20v132,2013
17,1.450237,1.380885,top20v132,2013
18,1.321856,1.335247,top20v132,2013
19,1.463965,1.508571,top20v132,2013
0,1.502739,1.474408,top20v211,2013
1,1.813262,1.729883,top20v211,2013
2,1.651323,1.844621,top20v211,2013
3,1.545143,1.436551,top20v211,2013
4,1.958965,1.932984,top20v211,2013
5,1.656858,1.642299,top20v211,2013
6,1.512313,1.664589,top20v211,2013
7,1.804834,1.628188,top20v211,2013
8,1.779959,1.670574,top20v211,2013
9,1.612814,2.366915,top20v211,2013
10,1.423331,1.73713,top20v211,2013
11,2.138489,1.807314,top20v211,2013
12,1.511261,1.627668,top20v211,2013
13,1.476482,1.525607,top20v211,2013
14,1.521493,1.547196,top20v211,2013
15,1.348286,1.573728,top20v211,2013
16,1.463624,1.507462,top20v211,2013
17,1.673747,1.667479,top20v211,2013
18,1.468016,1.626906,top20v211,2013
19,1.820537,1.886752,top20v211,2013
0,1.652924,1.812207,top20v212,2013
1,2.156466,1.925123,top20v212,2013
2,2.077571,2.343134,top20v212,2013
3,1.665594,1.751985,top20v212,2013
4,2.466518,2.430535,top20v212,2013
5,1.984601,1.927689,top20v212,2013
6,1.730869,1.854996,top20v212,2013
7,2.227338,1.787521,top20v212,2013
8,1.875373,1.78606,top20v212,2013
9,2.179115,2.839797,top20v212,2013
10,1.811068,2.124326,top20v212,2013
11,2.663763,2.18163,top20v212,2013
12,1.636337,1.776742,top20v212,2013
13,1.787816,1.840258,top20v212,2013
14,1.746775,1.763766,top20v212,2013
15,1.566553,1.82596,top20v212,2013
16,1.67966,1.990359,top20v212,2013
17,1.926719,1.839709,top20v212,2013
18,1.604066,1.914731,top20v212,2013
19,2.194764,2.312644,top20v212,2013
0,1.625691,1.428252,top20v221,2013
1,1.36068,0.0,top20v221,2013
2,1.600616,1.288255,top20v221,2013
3,1.427272,0.0,top20v221,2013
4,1.420433,1.821768,top20v221,2013
5,1.550952,0.984216,top20v221,2013
6,1.541541,1.37596,top20v221,2013
7,1.841062,0.0,top20v221,2013
8,1.818311,1.537398,top20v221,2013
9,1.550192,0.78271,top20v221,2013
10,1.347665,1.535516,top20v221,2013
11,2.183151,0.768042,top20v221,2013
12,1.510204,1.728794,top20v221,2013
13,1.377044,0.920393,top20v221,2013
14,1.442386,1.551822,top20v221,2013
15,1.229288,0.86051,top20v221,2013
16,1.430265,1.663191,top20v221,2013
17,1.694293,1.259385,top20v221,2013
18,1.361965,2.335641,top20v221,2013
19,1.851534,2.000786,top20v221,2013
0,1.75848,1.880005,top20v222,2013
1,1.620231,1.500918,top20v222,2013
2,2.131196,2.105828,top20v222,2013
3,1.532826,1.53786,top20v222,2013
4,1.785944,1.840793,top20v222,2013
5,1.841169,1.776567,top20v222,2013
6,1.723445,1.85592,top20v222,2013
7,2.216249,1.704591,top20v222,2013
8,1.929729,1.799443,top20v222,2013
9,1.845228,2.796053,top20v222,2013
10,1.757263,1.987348,top20v222,2013
11,2.672788,2.151741,top20v222,2013
12,1.601742,1.739002,top20v222,2013
13,1.700605,1.7743,top20v222,2013
14,1.669579,1.672689,top20v222,2013
15,1.534376,1.727024,top20v222,2013
16,1.709437,2.022935,top20v222,2013
17,1.962971,1.83381,top20v222,2013
18,1.506296,1.760638,top20v222,2013
19,2.215687,2.358696,top20v222,2013
0,1.798687,1.765632,top20v231,2013
1,1.835578,1.630752,top20v231,2013
2,1.725901,1.87352,top20v231,2013
3,2.032865,1.65895,top20v231,2013
4,1.814563,1.979269,top20v231,2013
