index,CPSI,version,year,type
5,1.563227,top20v121,2012,verse
6,1.906736,top20v121,2012,verse
7,1.840981,top20v121,2012,verse
8,1.574044,top20v121,2012,verse
9,1.690823,top20v121,2012,verse
10,1.527651,top20v121,2012,verse
11,1.656478,top20v121,2012,verse
12,1.314869,top20v121,2012,verse
13,1.491608,top20v121,2012,verse
14,1.587936,top20v121,2012,verse
15,1.777028,top20v121,2012,verse
16,2.035873,top20v121,2012,verse
17,1.922815,top20v121,2012,verse
18,1.620186,top20v121,2012,verse
19,1.739332,top20v121,2012,verse
0,2.098513,top20v122,2012,verse
1,2.216233,top20v122,2012,verse
2,1.549461,top20v122,2012,verse
3,1.743867,top20v122,2012,verse
4,1.756746,top20v122,2012,verse
5,1.737472,top20v122,2012,verse
6,2.097711,top20v122,2012,verse
7,2.398044,top20v122,2012,verse
8,1.515531,top20v122,2012,verse
9,1.818656,top20v122,2012,verse
10,1.755127,top20v122,2012,verse
11,1.887905,top20v122,2012,verse
12,1.587308,top20v122,2012,verse
13,1.634963,top20v122,2012,verse
14,1.740729,top20v122,2012,verse
15,1.962859,top20v122,2012,verse
16,2.666357,top20v122,2012,verse
17,2.352787,top20v122,2012,verse
18,1.890173,top20v122,2012,verse
19,1.946107,top20v122,2012,verse
0,2.347524,top20v131,2012,verse
1,1.721934,top20v131,2012,verse
2,1.494387,top20v131,2012,verse
3,2.175079,top20v131,2012,verse
4,1.627831,top20v131,2012,verse
5,1.870992,top20v131,2012,verse
6,1.607881,top20v131,2012,verse
7,1.839709,top20v131,2012,verse
8,2.014902,top20v131,2012,verse
9,1.922234,top20v131,2012,verse
10,1.750918,top20v131,2012,verse
11,2.037917,top20v131,2012,verse
12,1.545482,top20v131,2012,verse
13,1.620586,top20v131,2012,verse
14,1.835086,top20v131,2012,verse
15,2.216796,top20v131,2012,verse
16,1.94751,top20v131,2012,verse
17,1.757582,top20v131,2012,verse
18,1.721937,top20v131,2012,verse
19,2.229866,top20v131,2012,verse
0,1.464884,top20v132,2012,verse
1,1.395382,top20v132,2012,verse
2,1.629356,top20v132,2012,verse
3,1.561857,top20v132,2012,verse
4,1.533697,top20v132,2012,verse
5,1.774432,top20v132,2012,verse
6,1.411281,top20v132,2012,verse
7,1.485166,top20v132,2012,verse
8,1.469433,top20v132,2012,verse
9,1.746609,top20v132,2012,verse
10,1.617454,top20v132,2012,verse
11,1.345755,top20v132,2012,verse
12,1.441301,top20v132,2012,verse
13,1.708552,top20v132,2012,verse
14,1.534792,top20v132,2012,verse
15,1.388276,top20v132,2012,verse
16,1.46612,top20v132,2012,verse
17,1.579308,top20v132,2012,verse
18,1.425302,top20v132,2012,verse
19,1.536353,top20v132,2012,verse
0,1.815274,top20v211,2012,verse
1,1.799326,top20v211,2012,verse
2,1.51367,top20v211,2012,verse
3,1.698333,top20v211,2012,verse
4,1.543642,top20v211,2012,verse
5,1.591874,top20v211,2012,verse
6,1.92947,top20v211,2012,verse
7,1.914356,top20v211,2012,verse
8,1.605676,top20v211,2012,verse
9,1.766706,top20v211,2012,verse
10,1.580374,top20v211,2012,verse
11,1.731395,top20v211,2012,verse
